Results for dataset: examples/data/A Machine Learning-Based Classification and Prediction Technique for DDoS Attacks/test.csv
Accuracy: 0.84761
Total Final Rules: 3182

--- Top Active Rules ---
Rule1911_Class4_&_Rule1912_Class4_&_Rule1910_Class4: Used 15, Errors 15 (100.00%)
Rule1927_Class3_&_Rule1928_Class3_&_Rule1926_Class3: Used 15, Errors 12 (80.00%)
Rule3263_Class2_&_Rule3264_Class2_&_Rule3262_Class2: Used 15, Errors 9 (60.00%)
Rule523_Class3: Used 15, Errors 5 (33.33%)
Rule1136_Class6: Used 15, Errors 3 (20.00%)
Rule1355_Class3: Used 15, Errors 3 (20.00%)
Rule1670_Class7: Used 15, Errors 1 (6.67%)
Rule1699_Class6: Used 15, Errors 0 (0.00%)
Rule1765_Class6: Used 15, Errors 0 (0.00%)
Rule2626_Class6: Used 15, Errors 2 (13.33%)
Rule2736_Class6: Used 15, Errors 0 (0.00%)
Rule2798_Class3: Used 15, Errors 1 (6.67%)
Rule2981_Class3: Used 15, Errors 3 (20.00%)
Rule3253_Class2: Used 15, Errors 10 (66.67%)
Rule1989_Class2_&_Rule1990_Class2_&_Rule1988_Class2: Used 14, Errors 11 (78.57%)
Rule726_Class6: Used 14, Errors 6 (42.86%)
Rule1083_Class6: Used 14, Errors 3 (21.43%)
Rule1245_Class6: Used 14, Errors 4 (28.57%)
Rule1285_Class4: Used 14, Errors 1 (7.14%)
Rule1676_Class6: Used 14, Errors 0 (0.00%)
Rule2076_Class6: Used 14, Errors 1 (7.14%)
Rule2148_Class6: Used 14, Errors 3 (21.43%)
Rule2504_Class6: Used 14, Errors 0 (0.00%)
Rule2538_Class6: Used 14, Errors 0 (0.00%)
Rule2928_Class3: Used 14, Errors 0 (0.00%)
Rule3244_Class3: Used 14, Errors 10 (71.43%)
Rule3245_Class3: Used 14, Errors 11 (78.57%)
Rule1880_Class3_&_Rule1881_Class3_&_Rule1882_Class3: Used 13, Errors 10 (76.92%)
Rule1932_Class1_&_Rule1933_Class1_&_Rule1934_Class1: Used 13, Errors 13 (100.00%)
Rule3285_Class3_&_Rule3286_Class3_&_Rule3284_Class3: Used 13, Errors 11 (84.62%)
Rule3421_Class3_&_Rule3422_Class3_&_Rule3423_Class3: Used 13, Errors 10 (76.92%)
Rule1792_Class2_&_Rule1793_Class2: Used 13, Errors 8 (61.54%)
Rule1795_Class2_&_Rule1796_Class2: Used 13, Errors 9 (69.23%)
Rule3246_Class2_&_Rule3247_Class2: Used 13, Errors 8 (61.54%)
Rule3397_Class3_&_Rule3398_Class3: Used 13, Errors 9 (69.23%)
Rule165_Class4: Used 13, Errors 1 (7.69%)
Rule374_Class7: Used 13, Errors 6 (46.15%)
Rule1002_Class4: Used 13, Errors 3 (23.08%)
Rule1386_Class6: Used 13, Errors 3 (23.08%)
Rule1419_Class6: Used 13, Errors 1 (7.69%)
Rule1736_Class6: Used 13, Errors 1 (7.69%)
Rule1838_Class3: Used 13, Errors 10 (76.92%)
Rule2020_Class2: Used 13, Errors 6 (46.15%)
Rule2132_Class6: Used 13, Errors 0 (0.00%)
Rule2970_Class3: Used 13, Errors 1 (7.69%)
Rule3031_Class3: Used 13, Errors 0 (0.00%)
Rule1845_Class2_&_Rule1846_Class2_&_Rule1847_Class2_&_Rule1848_Class2: Used 12, Errors 9 (75.00%)
Rule2013_Class2_&_Rule2014_Class2_&_Rule2015_Class2: Used 12, Errors 7 (58.33%)
Rule3407_Class4_&_Rule3408_Class4_&_Rule3409_Class4: Used 12, Errors 10 (83.33%)
Rule691_Class3_&_Rule692_Class3: Used 12, Errors 5 (41.67%)
Rule856_Class3_&_Rule857_Class3: Used 12, Errors 5 (41.67%)
Rule3427_Class0_&_Rule3428_Class0: Used 12, Errors 12 (100.00%)
Rule183_Class8: Used 12, Errors 2 (16.67%)
Rule306_Class8: Used 12, Errors 5 (41.67%)
Rule325_Class3: Used 12, Errors 9 (75.00%)
Rule485_Class7: Used 12, Errors 8 (66.67%)
Rule796_Class4: Used 12, Errors 0 (0.00%)
Rule835_Class3: Used 12, Errors 3 (25.00%)
Rule892_Class6: Used 12, Errors 1 (8.33%)
Rule1021_Class3: Used 12, Errors 2 (16.67%)
Rule1183_Class6: Used 12, Errors 4 (33.33%)
Rule1190_Class6: Used 12, Errors 9 (75.00%)
Rule1470_Class0: Used 12, Errors 2 (16.67%)
Rule1538_Class4: Used 12, Errors 3 (25.00%)
Rule1818_Class4: Used 12, Errors 0 (0.00%)
Rule2025_Class6: Used 12, Errors 0 (0.00%)
Rule2381_Class6: Used 12, Errors 0 (0.00%)
Rule2432_Class6: Used 12, Errors 0 (0.00%)
Rule2480_Class6: Used 12, Errors 1 (8.33%)
Rule2493_Class6: Used 12, Errors 1 (8.33%)
Rule2604_Class4: Used 12, Errors 6 (50.00%)
Rule2680_Class6: Used 12, Errors 0 (0.00%)
Rule2708_Class6: Used 12, Errors 0 (0.00%)
